run num,is warmup,timing
1,no,2.4700000000016376e-05
2,no,2.36000000000125e-05
3,no,2.3200000000000998e-05
4,no,0.00021599999999999397
5,no,2.4799999999991496e-05
6,no,2.3999999999996247e-05
7,no,2.440000000000775e-05
8,no,2.4200000000001998e-05
average,4.811250000000267e-05
variance,4.026853593749583e-09
run num,is warmup,timing
1,no,2.469999999998862e-05
2,no,6.269999999999887e-05
3,no,2.4399999999979993e-05
4,no,7.879999999998999e-05
5,no,2.4399999999979993e-05
6,no,2.389999999999337e-05
7,no,2.3700000000015375e-05
8,no,2.36000000000125e-05
average,3.577499999999484e-05
variance,4.240743749999652e-10
