run num,is warmup,timing
1,no,3.210000000000712e-05
2,no,2.2999999999995246e-05
average,2.7550000000001185e-05
variance,2.0702500000054037e-11
run num,is warmup,timing
1,no,2.440000000000775e-05
2,no,2.3999999999996247e-05
average,2.4200000000001998e-05
variance,4.000000000230045e-14
run num,is warmup,timing
1,no,2.449999999998287e-05
2,no,2.4000000000024002e-05
average,2.4250000000003435e-05
variance,6.249999998971667e-14
run num,is warmup,timing
1,no,2.4399999999979993e-05
2,no,2.3999999999996247e-05
average,2.419999999998812e-05
variance,3.999999999674934e-14
run num,is warmup,timing
1,no,2.4500000000010624e-05
2,no,2.3500000000009624e-05
average,2.4000000000010124e-05
variance,2.5000000000050007e-13
run num,is warmup,timing
1,no,2.4500000000010624e-05
2,no,2.4099999999999122e-05
average,2.4300000000004873e-05
variance,4.000000000230045e-14
run num,is warmup,timing
1,no,2.480000000001925e-05
2,no,2.4200000000001998e-05
average,2.4500000000010624e-05
variance,9.000000000517602e-14
run num,is warmup,timing
1,no,2.4799999999991496e-05
2,no,2.4099999999999122e-05
average,2.444999999999531e-05
variance,1.2249999999733068e-13
