THREAD:,4-1,
run num,is warmup,timing
1,yes,2.3399999999978993e-05
2,yes,2.3099999999998122e-05
3,yes,2.2999999999995246e-05
4,no,2.3000000000023002e-05
5,no,2.3099999999998122e-05
6,no,2.2799999999989495e-05
7,no,2.2799999999989495e-05
average,2.292500000000003e-05,
variance,1.6875000002011337e-14,
,,
THREAD:,4-2,
run num,is warmup,timing
1,yes,2.4200000000001998e-05
2,yes,2.3799999999990495e-05
3,yes,2.389999999999337e-05
4,no,2.3999999999996247e-05
5,no,2.3799999999990495e-05
6,no,2.3799999999990495e-05
7,no,2.3999999999996247e-05
average,2.389999999999337e-05,
variance,1.0000000000575113e-14,
,,
THREAD:,4-3,
run num,is warmup,timing
1,yes,2.4099999999999122e-05
2,yes,2.3500000000009624e-05
3,yes,2.36000000000125e-05
4,no,2.3700000000015375e-05
5,no,2.3700000000015375e-05
6,no,2.380000000001825e-05
7,no,2.3500000000009624e-05
average,2.3675000000014657e-05,
variance,1.1875000000682945e-14,
,,
THREAD:,4-4,
run num,is warmup,timing
1,yes,2.3999999999996247e-05
2,yes,2.3700000000015375e-05
3,yes,2.3700000000015375e-05
4,no,2.36000000000125e-05
5,no,2.36000000000125e-05
6,no,2.369999999998762e-05
7,no,2.369999999998762e-05
average,2.365000000000006e-05,
variance,2.4999999987559995e-15,
,,
