THREAD:,8-1,
run num,is warmup,timing
1,yes,2.340000000000675e-05
2,yes,2.26000000000115e-05
3,yes,2.249999999998087e-05
4,no,2.26000000000115e-05
5,no,2.249999999998087e-05
average,2.2549999999996184e-05,
variance,2.5000000015315573e-15,
,,
THREAD:,8-2,
run num,is warmup,timing
1,yes,2.4099999999999122e-05
2,yes,2.3700000000015375e-05
3,yes,2.3900000000021127e-05
4,no,2.3799999999990495e-05
5,no,2.3599999999984744e-05
average,2.369999999998762e-05,
variance,1.0000000000575113e-14,
,,
THREAD:,8-3,
run num,is warmup,timing
1,yes,2.4099999999999122e-05
2,yes,3.2500000000018625e-05
3,yes,2.3300000000003873e-05
4,no,2.3200000000000998e-05
5,no,2.3099999999998122e-05
average,2.314999999999956e-05,
variance,2.500000000143778e-15,
,,
THREAD:,8-4,
run num,is warmup,timing
1,yes,2.3999999999996247e-05
2,yes,2.3500000000009624e-05
3,yes,3.180000000002625e-05
4,no,2.289999999999237e-05
5,no,2.269999999998662e-05
average,2.2799999999989495e-05,
variance,1.0000000000575113e-14,
,,
THREAD:,8-5,
run num,is warmup,timing
1,yes,2.3599999999984744e-05
2,yes,2.3299999999976118e-05
3,yes,2.3300000000003873e-05
4,no,2.3300000000003873e-05
5,no,3.1300000000011874e-05
average,2.7300000000007874e-05,
variance,1.6000000000032004e-11,
,,
THREAD:,8-6,
run num,is warmup,timing
1,yes,2.4099999999999122e-05
2,yes,2.3900000000021127e-05
3,yes,2.389999999999337e-05
4,no,2.3799999999990495e-05
5,no,2.3599999999984744e-05
average,2.369999999998762e-05,
variance,1.0000000000575113e-14,
,,
THREAD:,8-7,
run num,is warmup,timing
1,yes,8.389999999999787e-05
2,yes,9.479999999997824e-05
3,yes,2.4099999999999122e-05
4,no,0.00011040000000001049
5,no,7.039999999999824e-05
average,9.040000000000437e-05,
variance,4.0000000000024496e-10,
,,
THREAD:,8-8,
run num,is warmup,timing
1,yes,2.4099999999999122e-05
2,yes,2.3799999999990495e-05
3,yes,2.369999999998762e-05
4,no,2.380000000001825e-05
5,no,2.3799999999990495e-05
average,2.3800000000004373e-05,
variance,1.925929944387236e-34,
,,
